,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
318,Guillet_1546_bpt6k3182270_98.xml,14,10,Ø,6.57,1.72,93.42,6.57,1.71,2.81,97.18,801,9,1,4,811,814
319,Magny_1553_bpt6k8711906g_26.xml,8,8,Ø,6.1,1.06,93.89,4.96,1.06,1.59,98.4,745,4,0,4,749,753
320,Guillet_1546_bpt6k3182270_47.xml,26,14,Ø,11.11,3.99,88.88,11.11,3.93,6.02,93.97,634,14,3,9,651,657
321,Montenay_btv1b8609568n_97.xml,4,3,Ø,5.55,1.24,94.44,5.55,1.23,2.15,97.84,319,3,0,1,322,323
323,Tyard_1549_btv1b8617188p_33.xml,5,3,Ø,2.27,0.67,97.72,2.27,0.66,0.93,99.06,742,2,0,3,744,747
324,desRoches_1585_bpt6k706947_17.xml,3,3,Ø,1.69,0.31,98.3,1.69,0.31,0.52,99.47,944,2,0,1,946,947
325,Aretius_1-Tim_page_00008.xml,14,12,Ø,6.52,1.12,93.47,5.7,1.12,1.59,98.4,1235,6,2,6,1243,1247
326,Guillet_1546_bpt6k3182270_35.xml,3,3,3,3.26,0.59,96.73,3.26,0.59,1.19,98.8,499,3,0,0,502,502
327,Sceve_1544_btv1b8609581h_5.xml,4,4,Ø,16.66,2.87,83.33,16.66,2.85,4.95,95.04,136,3,0,1,139,140
328,Marquets_1562_bpt6k1521180m_40.xml,14,10,Ø,5.98,1.42,94.01,5.98,1.42,2.22,97.77,971,8,1,5,980,984
329,Labe_1555_btv1b86095588_26.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1161,0,0,0,1161,1161
330,Labe_1555_btv1b86095588_62.xml,8,5,Ø,2.38,0.67,97.61,1.9,0.67,0.84,99.15,1179,2,6,0,1187,1181
331,Guillet_1546_bpt6k3182270_18.xml,9,7,49,7.77,1.66,92.22,7.77,1.66,2.93,97.06,533,7,1,1,541,541
332,Tyard_1549_btv1b8617188p_92.xml,1,1,1,1.17,0.2,98.82,1.17,0.2,0.4,99.59,495,1,0,0,496,496
333,desRoches_1585_bpt6k706947_16.xml,1,1,1,0.83,0.15,99.16,0.83,0.15,0.3,99.69,647,1,0,0,648,648
334,Magny_1553_bpt6k8711906g_25.xml,2,2,2,1.16,0.2,98.83,1.16,0.2,0.41,99.58,966,2,0,0,968,968
335,Cajetan_Rom_v2_bsb11203740_00025_full_full_0_default.xml,34,35,Ø,5.82,0.85,94.17,5.4,0.85,1.35,98.64,3942,20,3,11,3965,3973
336,Labe_1555_btv1b86095588_41.xml,26,8,Ø,4.25,2.64,95.74,3.19,2.63,2.94,97.05,959,3,20,3,982,965
337,Epigrammata_1520_40_8d746_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,959,0,0,0,959,959
338,Marquets_1562_bpt6k1521180m_39.xml,7,7,Ø,4.51,0.75,95.48,4.19,0.75,1.17,98.82,924,4,1,2,929,930
